district,year,doy,mean_sif,valid_pixel_fraction,system:index,rainfall_mm,anomaly_mm,anomaly_pct,anomaly_zscore
Parbhani,2020,273,0.2562415525114155,0.4802631578947368,2_00020000000000000288,1099.293805851402,272.8627855272844,33.01700672129543,1.7185175887262865
Latur,2022,273,0.2585883064516128,0.5391304347826087,6_00020000000000000271,1175.945742686442,349.51472236232416,42.29206234601989,2.2012792867218542
Nanded,2022,273,0.2818681440443213,0.3661257606490872,6_00020000000000000273,1409.640121399609,583.2091010754912,70.56960432665784,3.673110263705271
Osmanabad,2022,273,0.2276942307692308,0.3812316715542522,6_00020000000000000275,971.4053945328776,144.97437420875983,17.54222320356542,0.9130633608056749
Aurangabad,2022,273,0.2961209302325581,0.4718792866941015,6_00020000000000000280,928.0329202462874,101.60189992216964,12.294056905357015,0.6398991043313131
Bid,2022,273,0.2577170103092783,0.5105263157894737,6_00020000000000000282,1012.3399731271292,185.9089528030114,22.49539867587495,1.1708735021387284
Hingoli,2022,273,0.2588552147239263,0.4794117647058823,6_00020000000000000284,1384.3092691931813,557.8782488690636,67.50451461154852,3.513573978938365
Jalna,2022,273,0.2883414179104478,0.4785714285714286,6_00020000000000000285,1058.5300025102067,232.09898218608896,28.08449543617834,1.4617830073144185
Parbhani,2022,273,0.2873233944954129,0.4780701754385965,6_00020000000000000288,1240.910572580189,414.4795522560712,50.15295191769504,2.6104343959657714
Latur,2023,273,0.2437401639344262,0.5545454545454546,7_00020000000000000271,891.0674408640559,64.63642053993817,7.8211513060809885,0.4070867537159466
Nanded,2023,273,0.2908852861035422,0.3598039215686274,7_00020000000000000273,1019.663125369143,193.2321050450253,23.381516459684875,1.2169954601349489
Osmanabad,2023,273,0.2261541176470588,0.3739002932551319,7_00020000000000000275,671.2410953056434,-155.18992501847436,-18.77832767671408,-0.9774019393007112
Aurangabad,2023,273,0.2792224783861672,0.47599451303155,7_00020000000000000280,694.3833280062531,-132.04769231786463,-15.978065811962974,-0.8316498028870128
Bid,2023,273,0.2269090206185567,0.5236167341430499,7_00020000000000000282,687.6787017571522,-138.75231856696553,-16.789340568623416,-0.8738762212410237
Hingoli,2023,273,0.2457759259259259,0.4764705882352941,7_00020000000000000284,940.250130186537,113.81910986241928,13.77236660571872,0.7168443357116518
Jalna,2023,273,0.2895657894736842,0.475,7_00020000000000000285,699.0860483777707,-127.34497194634709,-15.40902613945973,-0.8020315914563221
Parbhani,2023,273,0.2912680365296803,0.4802631578947368,7_00020000000000000288,830.8906124265006,4.459592102382885,0.5396206087029356,0.028086964851876
